k1,k2,S(MAC^7 k1 k2),R1,R2
4.0,10.0,1.0,0.2857142857142857,0.4745611564124804
4.0,11.0,1.0,0.2857142857142857,0.4942045169481854
4.0,12.0,1.0,0.2857142857142857,0.5121375001030224
4.0,13.0,1.0,0.2857142857142857,0.5286342454487275
4.0,14.0,1.0,0.2857142857142857,0.5439078460082291
4.0,15.0,1.0,0.2857142857142857,0.5581272279440741
4.0,16.0,1.0,0.2857142857142857,0.5714285714285714
4.0,17.0,1.0,0.2857142857142857,0.5839232630357628
4.0,18.0,1.0,0.2857142857142857,0.5957035716346161
4.0,19.0,1.0,0.2857142857142857,0.6068467876347979
4.0,20.0,1.0,0.2857142857142857,0.6174182992696232
4.0,21.0,1.0,0.2857142857142857,0.627473917539823
4.0,22.0,1.0,0.2857142857142857,0.6370616598053281
4.0,23.0,1.0,0.2857142857142857,0.6462231365795733
4.0,24.0,1.0,0.2857142857142857,0.6549946429601653
4.0,25.0,1.0,0.2857142857142857,0.6634080271106749
4.0,26.0,1.0,0.2857142857142857,0.6714913883058704
4.0,27.0,1.0,0.2857142857142857,0.6792696431662099
4.0,28.0,1.0,0.2857142857142857,0.6867649888653721
4.0,29.0,1.0,0.2857142857142857,0.6939972850182247
4.0,30.0,1.0,0.2857142857142857,0.7009843708012171
4.0,31.0,1.0,0.2857142857142857,0.707742330055268
4.0,32.0,1.0,0.2857142857142857,0.7142857142857143
4.0,33.0,1.0,0.2857142857142857,0.7206277313369219
4.0,34.0,1.0,0.2857142857142857,0.7267804058929057
4.0,35.0,1.0,0.2857142857142857,0.7327547167064238
4.0,36.0,1.0,0.2857142857142857,0.7385607144917589
4.0,37.0,1.0,0.2857142857142857,0.7442076236612786
4.0,38.0,1.0,0.2857142857142857,0.7497039304919407
4.0,39.0,1.0,0.2857142857142857,0.7550574598374641
4.0,40.0,1.0,0.2857142857142857,0.7602754421267661
4.0,41.0,1.0,0.2857142857142857,0.7653645720882977
4.0,42.0,1.0,0.2857142857142857,0.7703310603969659
4.0,43.0,1.0,0.2857142857142857,0.7751806792431568
4.0,44.0,1.0,0.2857142857142857,0.7799188026624709
4.0,45.0,1.0,0.2857142857142857,0.7845504423328107
